,Interest_Rate,Inflation_CPI,Unemployment_Rate,GDP
2018-01-01,1.41,248.859,4.0,20328.553
2018-02-01,1.42,249.529,4.1,20328.553
2018-03-01,1.51,249.577,4.0,20328.553
2018-04-01,1.69,250.227,4.0,20580.912
2018-05-01,1.7,250.792,3.8,20580.912
2018-06-01,1.82,251.018,4.0,20580.912
2018-07-01,1.91,251.214,3.8,20798.73
2018-08-01,1.91,251.663,3.8,20798.73
2018-09-01,1.95,252.182,3.7,20798.73
2018-10-01,2.19,252.772,3.8,20917.867
2018-11-01,2.2,252.594,3.8,20917.867
2018-12-01,2.27,252.767,3.9,20917.867
2019-01-01,2.4,252.561,4.0,21111.6
2019-02-01,2.4,253.319,3.8,21111.6
2019-03-01,2.41,254.277,3.8,21111.6
2019-04-01,2.42,255.233,3.7,21397.938
2019-05-01,2.39,255.296,3.6,21397.938
2019-06-01,2.38,255.213,3.6,21397.938
2019-07-01,2.4,255.802,3.7,21717.171
2019-08-01,2.13,256.036,3.6,21717.171
2019-09-01,2.04,256.43,3.5,21717.171
2019-10-01,1.83,257.155,3.6,21933.217
2019-11-01,1.55,257.879,3.6,21933.217
2019-12-01,1.55,258.63,3.6,21933.217
2020-01-01,1.55,259.127,3.6,21751.238
2020-02-01,1.58,259.25,3.5,21751.238
2020-03-01,0.65,258.076,4.4,21751.238
2020-04-01,0.05,256.032,14.8,19958.291
2020-05-01,0.05,255.802,13.2,19958.291
2020-06-01,0.08,257.042,11.0,19958.291
2020-07-01,0.09,258.352,10.2,21704.437
2020-08-01,0.1,259.316,8.4,21704.437
2020-09-01,0.09,259.997,7.8,21704.437
2020-10-01,0.09,260.319,6.9,22087.16
2020-11-01,0.09,260.911,6.7,22087.16
2020-12-01,0.09,262.045,6.7,22087.16
2021-01-01,0.09,262.639,6.4,22680.693
2021-02-01,0.08,263.573,6.2,22680.693
2021-03-01,0.07,264.847,6.1,22680.693
2021-04-01,0.07,266.625,6.1,23425.91
2021-05-01,0.06,268.404,5.8,23425.91
2021-06-01,0.08,270.71,5.9,23425.91
2021-07-01,0.1,271.965,5.4,23982.379
2021-08-01,0.09,272.752,5.1,23982.379
2021-09-01,0.08,273.942,4.7,23982.379
2021-10-01,0.08,276.528,4.5,24813.6
2021-11-01,0.08,278.824,4.1,24813.6
2021-12-01,0.08,280.806,3.9,24813.6
2022-01-01,0.08,282.542,4.0,25250.347
2022-02-01,0.08,284.525,3.9,25250.347
2022-03-01,0.2,287.467,3.7,25250.347
2022-04-01,0.33,288.582,3.7,25861.292
2022-05-01,0.77,291.299,3.6,25861.292
2022-06-01,1.21,295.072,3.6,25861.292
2022-07-01,1.68,294.94,3.5,26336.304
2022-08-01,2.33,295.162,3.6,26336.304
2022-09-01,2.56,296.421,3.5,26336.304
2022-10-01,3.08,297.979,3.6,26770.514
2022-11-01,3.78,298.708,3.6,26770.514
2022-12-01,4.1,298.808,3.5,26770.514
2023-01-01,4.33,300.456,3.5,27216.445
2023-02-01,4.57,301.476,3.6,27216.445
2023-03-01,4.65,301.643,3.5,27216.445
2023-04-01,4.83,302.858,3.4,27530.055
2023-05-01,5.06,303.316,3.6,27530.055
2023-06-01,5.08,304.099,3.6,27530.055
2023-07-01,5.12,304.615,3.5,28074.846
2023-08-01,5.33,306.138,3.7,28074.846
2023-09-01,5.33,307.374,3.7,28074.846
2023-10-01,5.33,307.653,3.9,28424.722
2023-11-01,5.33,308.087,3.7,28424.722
2023-12-01,5.33,308.735,3.8,28424.722
2024-01-01,5.33,309.794,3.7,28708.161
2024-02-01,5.33,311.022,3.9,28708.161
2024-03-01,5.33,312.107,3.9,28708.161
2024-04-01,5.33,313.016,3.9,29147.044
2024-05-01,5.33,313.14,3.9,29147.044
2024-06-01,5.33,313.131,4.1,29147.044
2024-07-01,5.33,313.566,4.2,29511.664
2024-08-01,5.33,314.131,4.2,29511.664
2024-09-01,5.13,314.851,4.1,29511.664
2024-10-01,4.83,315.564,4.1,29825.182
2024-11-01,4.64,316.449,4.2,29825.182
2024-12-01,4.48,317.603,4.1,29825.182
2025-01-01,4.33,319.086,4.0,30042.113
2025-02-01,4.33,319.775,4.2,30042.113
2025-03-01,4.33,319.615,4.2,30042.113
2025-04-01,4.33,320.321,4.2,30485.729
2025-05-01,4.33,320.58,4.3,30485.729
2025-06-01,4.33,321.5,4.1,30485.729
2025-07-01,4.33,322.132,4.3,31098.027
2025-08-01,4.33,323.364,4.3,31098.027
2025-09-01,4.22,324.368,4.4,31098.027
2025-10-01,4.09,324.368,4.4,31098.027
2025-11-01,3.88,325.031,4.5,31098.027
2025-12-01,3.72,326.03,4.4,31098.027
2026-01-01,3.64,326.03,4.3,31098.027
